sample	sample_id	unit	platform	library	flowcell	lane	fq1	fq2	kb1	kb2
s036	T200002	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200002_T2087_5D_S36_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200002_T2087_5D_S36_L001_R2_001.fastq.gz	2950224	3091776
s037	T200003	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200003_T2087_5E_S37_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200003_T2087_5E_S37_L001_R2_001.fastq.gz	2461472	2551264
s038	T200004	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200004_T2087_5F_S38_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200004_T2087_5F_S38_L001_R2_001.fastq.gz	2729624	2801292
s039	T200005	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200005_T2087_5G_S39_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200005_T2087_5G_S39_L001_R2_001.fastq.gz	2990668	3073772
s040	T200006	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200006_T2087_5H_S40_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200006_T2087_5H_S40_L001_R2_001.fastq.gz	2994188	3069900
s041	T200007	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200007_T2087_6A_S41_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200007_T2087_6A_S41_L001_R2_001.fastq.gz	1288672	1331604
s042	T200008	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200008_T2087_6B_S42_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200008_T2087_6B_S42_L001_R2_001.fastq.gz	2780304	2889888
s043	T200009	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200009_T2087_6C_S43_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200009_T2087_6C_S43_L001_R2_001.fastq.gz	2369616	2460992
s044	T200010	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200010_T2087_6D_S44_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200010_T2087_6D_S44_L001_R2_001.fastq.gz	1740360	1817532
s045	T200011	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200011_T2087_6E_S45_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200011_T2087_6E_S45_L001_R2_001.fastq.gz	1967804	2063140
s046	T200012	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200012_T2087_6F_S46_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200012_T2087_6F_S46_L001_R2_001.fastq.gz	1953164	2008612
s047	T200013	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200013_T2087_6G_S47_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200013_T2087_6G_S47_L001_R2_001.fastq.gz	1973856	2046112
s048	T200014	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200014_T2087_6H_S48_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200014_T2087_6H_S48_L001_R2_001.fastq.gz	1865648	1947980
s049	T200015	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200015_T2087_7A_S49_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200015_T2087_7A_S49_L001_R2_001.fastq.gz	1764208	1829140
s050	T200016	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200016_T2087_7B_S50_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200016_T2087_7B_S50_L001_R2_001.fastq.gz	1819440	1881968
s051	T200017	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200017_T2087_7C_S51_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200017_T2087_7C_S51_L001_R2_001.fastq.gz	2720692	2818184
s052	T200018	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200018_T2087_7D_S52_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200018_T2087_7D_S52_L001_R2_001.fastq.gz	1968676	2030824
s053	T200019	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200019_T2087_7E_S53_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200019_T2087_7E_S53_L001_R2_001.fastq.gz	2390860	2445416
s054	T200020	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200020_T2087_7F_S54_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200020_T2087_7F_S54_L001_R2_001.fastq.gz	2091644	2140452
s055	T200021	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200021_T2087_7G_S55_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200021_T2087_7G_S55_L001_R2_001.fastq.gz	2264204	2337732
s056	T200022	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200022_T2087_7H_S56_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200022_T2087_7H_S56_L001_R2_001.fastq.gz	2325588	2428392
s057	T200023	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200023_T2087_8A_S57_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200023_T2087_8A_S57_L001_R2_001.fastq.gz	1815124	1890952
s058	T200024	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200024_T2087_8B_S58_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200024_T2087_8B_S58_L001_R2_001.fastq.gz	1556468	1617108
s059	T200025	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200025_T2087_8C_S59_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200025_T2087_8C_S59_L001_R2_001.fastq.gz	1927540	1997812
s060	T200026	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200026_T2087_8D_S60_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200026_T2087_8D_S60_L001_R2_001.fastq.gz	2472472	2547640
s061	T200027	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200027_T2087_8E_S61_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200027_T2087_8E_S61_L001_R2_001.fastq.gz	2309240	2379752
s062	T200028	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200028_T2087_8F_S62_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200028_T2087_8F_S62_L001_R2_001.fastq.gz	2015652	2067888
s063	T200029	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200029_T2087_8G_S63_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200029_T2087_8G_S63_L001_R2_001.fastq.gz	2369048	2442036
s064	T200030	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200030_T2087_8H_S64_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200030_T2087_8H_S64_L001_R2_001.fastq.gz	2544908	2631684
s065	T200031	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200031_T2087_9A_S65_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200031_T2087_9A_S65_L001_R2_001.fastq.gz	818176	860124
s066	T200032	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200032_T2087_9B_S66_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200032_T2087_9B_S66_L001_R2_001.fastq.gz	1394548	1452324
s067	T200033	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200033_T2087_9C_S67_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200033_T2087_9C_S67_L001_R2_001.fastq.gz	1921272	1992416
s068	T200034	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200034_T2087_9D_S68_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200034_T2087_9D_S68_L001_R2_001.fastq.gz	1652456	1703636
s069	T200035	1	ILLUMINA	Lib-1	HY75HDSX2	1	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R1/T200035_T2087_9E_S69_L001_R1_001.fastq.gz	/home/eanderson/Documents/projects/yukon-chinookomes/resources/fastq/NVS127B_Columbus_T2087_R2/T200035_T2087_9E_S69_L001_R2_001.fastq.gz	1908792	1981248
